"Sex","Pclass","PassengerId","Survived","Age","SibSp","Parch","Fare","title_Mr","title_Mrs","title_Miss","title_Master","title_Royalty","title_Officer","Embarked_C","Embarked_S","Embarked_Q"
0,1,306,1,0.92,1,2,151.55,0,0,0,1,0,0,0,1,0
0,1,803,1,11,1,2,120,0,0,0,1,0,0,0,1,0
0,1,446,1,4,0,2,81.8583,0,0,0,1,0,0,0,1,0
0,1,551,1,17,0,2,110.8833,1,0,0,0,0,0,1,0,0
0,1,264,0,40,0,0,0,1,0,0,0,0,0,0,1,0
0,1,24,1,28,0,0,35.5,1,0,0,0,0,0,0,1,0
0,1,749,0,19,1,0,53.1,1,0,0,0,0,0,0,1,0
0,1,63,0,45,1,0,83.475,1,0,0,0,0,0,0,1,0
0,1,225,1,38,1,0,90,1,0,0,0,0,0,0,1,0
0,1,463,0,47,0,0,38.5,1,0,0,0,0,0,0,1,0
0,1,790,0,46,0,0,79.2,1,0,0,0,0,0,1,0,0
0,1,454,1,49,1,0,89.1042,1,0,0,0,0,0,1,0,0
0,1,103,0,21,0,1,77.2875,1,0,0,0,0,0,0,1,0
0,1,794,0,41.5,0,0,30.6958,1,0,0,0,0,0,1,0,0
0,1,682,1,27,0,0,76.7292,1,0,0,0,0,0,1,0,0
0,1,340,0,45,0,0,35.5,1,0,0,0,0,0,0,1,0
0,1,140,0,24,0,0,79.2,1,0,0,0,0,0,1,0,0
0,1,588,1,60,1,1,79.2,1,0,0,0,0,0,1,0,0
0,1,263,0,52,1,1,79.65,1,0,0,0,0,0,0,1,0
0,1,868,0,31,0,0,50.4958,1,0,0,0,0,0,0,1,0
0,1,36,0,42,1,0,52,1,0,0,0,0,0,0,1,0
0,1,516,0,47,0,0,34.0208,1,0,0,0,0,0,0,1,0
0,1,493,0,55,0,0,30.5,1,0,0,0,0,0,0,1,0
0,1,374,0,22,0,0,135.6333,1,0,0,0,0,0,1,0,0
0,1,680,1,36,0,1,512.3292,1,0,0,0,0,0,1,0,0
0,1,7,0,54,0,0,51.8625,1,0,0,0,0,0,0,1,0
0,1,468,0,56,0,0,26.55,1,0,0,0,0,0,0,1,0
0,1,488,0,58,0,0,29.7,1,0,0,0,0,0,1,0,0
0,1,171,0,61,0,0,33.5,1,0,0,0,0,0,0,1,0
0,1,98,1,23,0,1,63.3583,1,0,0,0,0,0,1,0,0
0,1,708,1,42,0,0,26.2875,1,0,0,0,0,0,0,1,0
0,1,28,0,19,3,2,263,1,0,0,0,0,0,0,1,0
0,1,506,0,18,1,0,108.9,1,0,0,0,0,0,1,0,0
0,1,702,1,35,0,0,26.2875,1,0,0,0,0,0,0,1,0
0,1,546,0,64,0,0,26,1,0,0,0,0,0,0,1,0
0,1,461,1,48,0,0,26.55,1,0,0,0,0,0,0,1,0
0,1,584,0,36,0,0,40.125,1,0,0,0,0,0,1,0,0
0,1,558,0,41.5,0,0,227.525,1,0,0,0,0,0,1,0,0
0,1,508,1,41.5,0,0,26.55,1,0,0,0,0,0,0,1,0
0,1,494,0,71,0,0,49.5042,1,0,0,0,0,0,1,0,0
0,1,332,0,45.5,0,0,28.5,1,0,0,0,0,0,0,1,0
0,1,556,0,62,0,0,26.55,1,0,0,0,0,0,0,1,0
0,1,274,0,37,0,1,29.7,1,0,0,0,0,0,1,0,0
